Marc Neveu - 13 Aug. 2015
This file lists the quantities output by PHREEQC simulations generated by IcyDwarf’s ParamExploration() subroutine in Outputs/ParamExploration.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column	Quantity
1107	d_Korshunovskite
1108	     Kyanite
1109	   d_Kyanite
1110	 Lansfordite
1111	d_Lansfordite
1112	     Larnite
1113	   d_Larnite
1114	  Laumontite
1115	d_Laumontite
1116	  Lawrencite
1117	d_Lawrencite
1118	   Lawsonite
1119	 d_Lawsonite
1120	     Leonite
1121	   d_Leonite
1122	Lepidocrocite
1123	d_Lepidocrocite
1124	          Li
1125	        d_Li
1126	      Li2UO4
1127	    d_Li2UO4
1128	        Lime
1129	      d_Lime
1130	   Linnaeite
1131	 d_Linnaeite
1132	    Lopezite
1133	  d_Lopezite
1134	Magnesiochromite
1135	d_Magnesiochromite
1136	   Magnesite
1137	 d_Magnesite
1138	   Magnetite
1139	 d_Magnetite
1140	   Malachite
1141	 d_Malachite
1142	   Manganite
1143	 d_Manganite
1144	 Manganosite
1145	d_Manganosite
1146	   Margarite
1147	 d_Margarite
1148	Maximum_Microcline
1149	d_Maximum_Microcline
1150	    Mayenite
1151	  d_Mayenite
1152	 Melanterite
1153	d_Melanterite
1154	  Mercallite
1155	d_Mercallite
1156	   Merwinite
1157	 d_Merwinite
1158	    Mesolite
1159	  d_Mesolite
1160	          Mg
1161	        d_Mg
1162	Mg(ClO4)2:6H2O
1163	d_Mg(ClO4)2:6H2O
1164	Mg1.25SO4(OH)0.5:0.5H2O
1165	d_Mg1.25SO4(OH)0.5:0.5H2O
1166	Mg1.5SO4(OH)
1167	d_Mg1.5SO4(OH)
1168	 MgCl2:12H2O
1169	d_MgCl2:12H2O
1170	  MgCl2:2H2O
1171	d_MgCl2:2H2O
1172	  MgCl2:4H2O
1173	d_MgCl2:4H2O
1174	  MgCl2:8H2O
1175	d_MgCl2:8H2O
1176	   MgCl2:H2O
1177	 d_MgCl2:H2O
1178	      MgOHCl
1179	    d_MgOHCl
1180	       MgSO4
1181	     d_MgSO4
1182	 MgSO4:12H2O
1183	d_MgSO4:12H2O
1184	       MgUO4
1185	     d_MgUO4
1186	   Mikasaite
1187	 d_Mikasaite
1188	   Millerite
1189	 d_Millerite
