Marc Neveu - 23 April 2017
This file lists the quantities output by PHREEQC simulations in Outputs_xx_xx.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column		Quantity

0		Temperature (celsius)
1		Pressure (bar)
2		W:R by mass
3		Log fO2=FMQ±…

Initial speciated solution

4		pe(FMQ) at pH that balances charge
5		pH that balances charge at pe(output #6) ≠ pH that balances charge at pe(output #7)
6		pe of speciated solution at pH that balances charge (output #5)
7		pe of speciated solution at pH 7 = input pe at pH 7
586	Hydroxyapatite
587	d_Hydroxyapatite
588	         Ice
589	       d_Ice
590	    Ilmenite
591	  d_Ilmenite
592	     Jadeite
593	   d_Jadeite
594	    Jarosite
595	  d_Jarosite
596	           K
597	         d_K
598	  K-Feldspar
599	d_K-Feldspar
600	         K2O
601	       d_K2O
602	   KAl(SO4)2
603	 d_KAl(SO4)2
604	   Kalsilite
605	 d_Kalsilite
606	   Kaolinite
607	 d_Kaolinite
608	 KerogenC128
609	d_KerogenC128
610	 KerogenC292
611	d_KerogenC292
612	 KerogenC515
613	d_KerogenC515
614	     Kyanite
615	   d_Kyanite
616	     Larnite
617	   d_Larnite
618	  Laumontite
619	d_Laumontite
620	  Lawrencite
621	d_Lawrencite
622	   Lawsonite
623	 d_Lawsonite
624	          Li
625	        d_Li
626	        Lime
627	      d_Lime
628	   Linnaeite
629	 d_Linnaeite
630	   Lizardite
631	 d_Lizardite
632	    Lopezite
633	  d_Lopezite
634	Magnesiochromite
635	d_Magnesiochromite
636	   Magnesite
637	 d_Magnesite
638	   Magnetite
639	 d_Magnetite
640	   Malachite
641	 d_Malachite
642	 Manganosite
643	d_Manganosite
644	   Margarite
645	 d_Margarite
646	Maximum_Microcline
647	d_Maximum_Microcline
648	    Mayenite
649	  d_Mayenite
650	 Melanterite
651	d_Melanterite
652	   Merwinite
653	 d_Merwinite
654	    Mesolite
655	  d_Mesolite
656	          Mg
657	        d_Mg
658	      MgOHCl
659	    d_MgOHCl
660	       MgSO4
661	     d_MgSO4
662	   Millerite
663	 d_Millerite
664	Minnesotaite
665	d_Minnesotaite
666	  Mirabilite
667	d_Mirabilite
668	          Mn
669	        d_Mn
670	 Mn(OH)2(am)
671	d_Mn(OH)2(am)
672	  MnCl2:2H2O
673	d_MnCl2:2H2O
674	  MnCl2:4H2O
675	d_MnCl2:4H2O
676	   MnCl2:H2O
677	 d_MnCl2:H2O
678	       MnSO4
679	     d_MnSO4
680	          Mo
681	        d_Mo
682	    Molysite
683	  d_Molysite
684	Monohydrocalcite
685	d_Monohydrocalcite
686	Monticellite
687	d_Monticellite
688	  Montmor-Ca
689	d_Montmor-Ca
690	   Montmor-K
691	 d_Montmor-K
692	  Montmor-Mg
693	d_Montmor-Mg
694	  Montmor-Na
695	d_Montmor-Na
696	   Mordenite
697	 d_Mordenite
698	  Morenosite
699	d_Morenosite
700	   Muscovite
701	 d_Muscovite
702	          Na
703	        d_Na
704	      Na2CO3
705	    d_Na2CO3
706	 Na2CO3:7H2O
707	d_Na2CO3:7H2O
708	    Na2Cr2O7
709	  d_Na2Cr2O7
710	     Na2CrO4
711	   d_Na2CrO4
712	        Na2O
713	      d_Na2O
714	     Na2SiO3
715	   d_Na2SiO3
716	     Na2U2O7
717	   d_Na2U2O7
718	      NaFeO2
719	    d_NaFeO2
720	   Nahcolite
721	 d_Nahcolite
722	   Nantokite
723	 d_Nantokite
724	   Natrolite
725	 d_Natrolite
726	      Natron
727	    d_Natron
728	 Natrosilite
729	d_Natrosilite
730	       NaUO3
731	     d_NaUO3
732	   Nepheline
733	 d_Nepheline
734	Nesquehonite
735	d_Nesquehonite
736	NH4-feldspar
737	d_NH4-feldspar
738	NH4-muscovite
739	d_NH4-muscovite
740	       NH4Cl
741	     d_NH4Cl
742	     NH4HCO3
743	   d_NH4HCO3
744	          Ni
745	        d_Ni
746	     Ni(OH)2
747	   d_Ni(OH)2
748	     Ni2SiO4
749	   d_Ni2SiO4
750	Nickelbischofite
751	d_Nickelbischofite
752	       NiCl2
753	     d_NiCl2
754	  NiCl2:2H2O
755	d_NiCl2:2H2O
756	   Ningyoite
757	 d_Ningyoite
758	       NiSO4
759	     d_NiSO4
760	NiSO4:6H2O(alpha)
761	d_NiSO4:6H2O(alpha)
762	       Niter
763	     d_Niter
764	Nontronite-Ca
765	d_Nontronite-Ca
766	Nontronite-K
767	d_Nontronite-K
768	Nontronite-Mg
769	d_Nontronite-Mg
770	Nontronite-Na
771	d_Nontronite-Na
772	     Okenite
773	   d_Okenite
774	           P
775	         d_P
776	  Paragonite
777	d_Paragonite
778	   Pargasite
779	 d_Pargasite
780	   Periclase
781	 d_Periclase
782	    Petalite
783	  d_Petalite
784	  Phlogopite
785	d_Phlogopite
786	  Polydymite
787	d_Polydymite
788	 Portlandite
789	d_Portlandite
790	    Prehnite
791	  d_Prehnite
792	Pseudowollastonite
793	d_Pseudowollastonite
794	    Pyridine
795	  d_Pyridine
796	      Pyrite
797	    d_Pyrite
798	  Pyrolusite
799	d_Pyrolusite
800	Pyrophyllite
801	d_Pyrophyllite
802	  Pyrrhotite
803	d_Pyrrhotite
804	      Quartz
805	    d_Quartz
806	   Rankinite
807	 d_Rankinite
808	Rhodochrosite
809	d_Rhodochrosite
810	   Rhodonite
811	 d_Rhodonite
812	  Ripidolite
813	d_Ripidolite
814	Rutherfordine
815	d_Rutherfordine
816	      Rutile
817	    d_Rutile
818	           S
819	         d_S
820	    Saleeite
821	  d_Saleeite
822	Sanidine_high
823	d_Sanidine_high
824	Saponite-Fe-Ca
825	d_Saponite-Fe-Ca
826	Saponite-Fe-K
827	d_Saponite-Fe-K
828	Saponite-Fe-Mg
829	d_Saponite-Fe-Mg
830	Saponite-Fe-Na
831	d_Saponite-Fe-Na
832	Saponite-Mg-Ca
833	d_Saponite-Mg-Ca
834	Saponite-Mg-Fe
835	d_Saponite-Mg-Fe
836	Saponite-Mg-K
837	d_Saponite-Mg-K
838	Saponite-Mg-Mg
839	d_Saponite-Mg-Mg
840	Saponite-Mg-Na
841	d_Saponite-Mg-Na
842	          Sc
843	        d_Sc
844	   Scacchite
845	 d_Scacchite
846	   Schoepite
847	 d_Schoepite
848	   Scolecite
849	 d_Scolecite
850	   Sepiolite
851	 d_Sepiolite
852	          Si
853	        d_Si
854	    Siderite
855	  d_Siderite
856	 Sillimanite
857	d_Sillimanite
858	    SiO2(am)
859	  d_SiO2(am)
860	          Sm
861	        d_Sm
862	Smectite-high-Fe-Mg
863	d_Smectite-high-Fe-Mg
864	Smectite-low-Fe-Mg
865	d_Smectite-low-Fe-Mg
866	 Smithsonite
867	d_Smithsonite
868	Sphaerocobaltite
869	d_Sphaerocobaltite
870	  Sphalerite
871	d_Sphalerite
872	      Spinel
873	    d_Spinel
874	   Spinel-Co
875	 d_Spinel-Co
876	   Spodumene
877	 d_Spodumene
878	    Stilbite
879	  d_Stilbite
880	   Strengite
881	 d_Strengite
882	     Sylvite
883	   d_Sylvite
884	        Talc
885	      d_Talc
886	 Tarapacaite
887	d_Tarapacaite
888	    Tenorite
889	  d_Tenorite
890	   Tephroite
891	 d_Tephroite
892	          Th
893	        d_Th
894	Th(NO3)4:5H2O
895	d_Th(NO3)4:5H2O
